,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city
129,2018,Maruti Suzuki,Maruti Suzuki Alto K10 VXi AMT [2014-2018],Alto,440000.00000000006,6800.0,Petrol,Pune
130,2014,Ford,Ford EcoSport Titanium 1.5 Ti-VCT AT,EcoSport,550000.0,32800.0,Petrol,Pune
131,2013,Mercedes-Benz,Mercedes-Benz E-Class E220 CDI Blue Efficiency,E-Class,1698999.9999999998,67000.0,Diesel,Pune
132,2013,Audi,Audi Q3 2.0 TDI quattro Premium Plus,Q3,1375000.0,79000.0,Diesel,Pune
133,2015,Audi,Audi Q3 35 TDI Premium + Sunroof,Q3,1675000.0,100000.0,Diesel,Pune
134,2012,Maruti Suzuki,Maruti Suzuki Alto 800 Lxi CNG,Alto,225000.0,89000.0,CNG + 1,Pune
135,2008,BMW,BMW X3 2.5si,X3,599000.0,170306.0,Petrol,Pune
136,2015,Hyundai,Hyundai Eon Era +,Eon,300000.0,11500.0,Petrol,Pune
137,2019,Toyota,Toyota Fortuner 2.8 4x4 AT [2016-2020],Fortuner,3800000.0,13500.0,Diesel,Pune
138,2007,Hyundai,Hyundai Santro Xing XL eRLX - Euro III,Santro,110000.00000000001,87000.0,Petrol,Pune
139,2015,Volkswagen,Volkswagen Polo Highline1.2L (P),Polo,525000.0,40119.0,Petrol,Pune
140,2017,Skoda,Skoda Rapid Ambition 1.5 TDI AT,Rapid,675000.0,108500.0,Diesel,Pune
141,2010,Honda,Honda City 1.5 V MT,City,400000.0,118000.0,Petrol,Pune
142,2011,Ford,Ford Figo Duratorq Diesel Titanium 1.4,Figo,285000.0,70738.0,Diesel,Pune
143,2009,Honda,Honda CR-V 2.0 2WD,CR-V,480999.99999999994,117136.0,Petrol,Pune
144,2017,Audi,Audi Q7 45 TDI Technology Pack,Q7,5500000.0,55000.0,Diesel,Pune
145,2016,Hyundai,Hyundai i20 Active 1.2 S,i20,598000.0,42000.0,Petrol,Pune
146,2014,Mercedes-Benz,Mercedes-Benz S-Class S 350 CDI,S-Class,4600000.0,47000.0,Diesel,Pune
147,2014,Honda,Honda City VX Diesel,City,650000.0,124000.0,Diesel,Pune
148,2015,Hyundai,Hyundai Xcent S 1.2,Xcent,425000.0,81911.0,Petrol,Pune
149,2015,Maruti Suzuki,Maruti Suzuki Alto 800 Lxi CNG,Alto,310000.0,34308.0,CNG + 1,Pune
150,2014,Maruti Suzuki,Maruti Suzuki Celerio VXi CNG [2019-2020],Celerio,445000.0,56030.0,CNG + 1,Pune
